--- Manifest dan Laporan Verifikasi untuk Set: train ---

# Ringkasan
  - Jumlah gambar: 3848
  - Jumlah baris transkripsi: 3848
  - Status: Cocok. Setiap gambar memiliki transkripsi.

# Daftar File Manifest (gambar | transkripsi)
images/0030_NL-HaNA_1.04.02_1175_0144-groot_line_1644234884553_45.jpg | Op wissel getrocken volgens de wisselbrieven ende advijsen.,, 567276:12:-:
images/0031_NL-HaNA_1.04.02_1175_0144-groot_line_1644234956029_50.jpg | schepen bestaende uijt Contanten Coopmansch: provisien E.a. .„1010112:-:11
images/0032_NL-HaNA_1.04.02_1175_0144-groot_line_1644234961625_54.jpg | decemb:r A=o 1649. . . . . . . . . . . . . .„12663694:12: 5:
images/0033_NL-HaNA_1.04.02_1175_0144-groot_line_1644234971965_59.jpg | omme in't vaderlant te betalen . . . . . . . .„ 72532: 7:-
images/0034_NL-HaNA_1.04.02_1175_0144-groot_line_1644234975628_63.jpg | schepen ontfangen 't samen . . . . . . . . . . . . „ 71329:18:13:
images/0035_NL-HaNA_1.04.02_1175_0144-groot_line_1644234982028_68.jpg | Jacht den Arent gelicht bij vercoop geprocedeert . . „ 14307:12:-:
images/0036_NL-HaNA_1.04.02_1175_0144-groot_line_1644234985223_72.jpg | Caneel . . . . . . . . . . . . . . . . . . . . . „ 114871:14:4
images/0037_NL-HaNA_1.04.02_1175_0144-groot_line_1644234989148_76.jpg | Blijven de gedane progressen suijver te bedragen. . . . . ƒ 856154: 8:12
images/0038_NL-HaNA_1.04.02_1175_0144-groot_line_1644234994083_80.jpg | vergaen . . . . . . . . . . . . „ 32703:14:6:
images/0039_NL-HaNA_1.04.02_1175_0144-groot_line_1644234997627_84.jpg | verongeluckt . . . . . . . . . „ 1043: 2:11:
images/0040_NL-HaNA_1.04.02_1175_0144-groot_line_1644235004438_89.jpg | potvis in Zee verlooren. . . „  181736:15:12:
images/0041_NL-HaNA_1.04.02_1175_0144-groot_line_1644235011464_94.jpg | verlooren. . . . . . . . . . . .  „ 116970:3: 1:
images/0042_NL-HaNA_1.04.02_1175_0144-groot_line_1679057093887_18.jpg | ƒ 862880:11:-:
images/0043_NL-HaNA_1.04.02_1175_0144-groot_line_1679057093888_19.jpg | ƒ 862880:11:-:
images/0044_NL-HaNA_1.04.02_1175_0144-groot_line_1679057103161_25.jpg | ƒ 15372249:16:1:
images/0045_NL-HaNA_1.04.02_1175_0144-groot_line_1679057103161_26.jpg | ƒ 15372249:16:1:
images/0046_NL-HaNA_1.04.02_1175_0144-groot_r1l1.jpg | p=r Transport . . . ƒ 530426:15:2:
images/0047_NL-HaNA_1.04.02_1175_0144-groot_r1l11.jpg | P=r de Fluijt Maeslandt in Zee
images/0048_NL-HaNA_1.04.02_1175_0144-groot_r1l14.jpg | P=r 't Jacht Visiagapatnam in Zee
images/0049_NL-HaNA_1.04.02_1175_0144-groot_r1l2.jpg | P=r de scheepen Tijger, bergen op Zoom
images/0050_NL-HaNA_1.04.02_1175_0144-groot_r1l21.jpg | hier bij gevoecht soo veele den keijser van Ceijlon is goet
images/0051_NL-HaNA_1.04.02_1175_0144-groot_r1l22.jpg | gedaen, op afcortinge sijnder schult, wegens ontfangene
images/0052_NL-HaNA_1.04.02_1175_0144-groot_r1l26.jpg | Item in souratta van 20 p=s Iser geschut uijt het gesloopte
images/0053_NL-HaNA_1.04.02_1175_0144-groot_r1l3.jpg | Aechtekercke, luijpaert ende Juffer
images/0054_NL-HaNA_1.04.02_1175_0144-groot_r1l30.jpg | Voor het overige scheeps gelt ende diversche goederen,
images/0055_NL-HaNA_1.04.02_1175_0144-groot_r1l31.jpg | als provisien, p=r reste uijt de aengecomen vaderlantse
images/0056_NL-HaNA_1.04.02_1175_0144-groot_r1l35.jpg | In banda, molucco, Cheijlon, Choromandel, malacca
images/0057_NL-HaNA_1.04.02_1175_0144-groot_r1l36.jpg | Taijouan, ende op Batavia, uijt de naergelaten
images/0058_NL-HaNA_1.04.02_1175_0144-groot_r1l37.jpg | goederen van diversche overleden persoonen ontfangen
images/0059_NL-HaNA_1.04.02_1175_0144-groot_r1l4.jpg | aen't Eijlant Cambona verseijlt
images/0060_NL-HaNA_1.04.02_1175_0144-groot_r1l45.jpg | T'secours den verleden Jare van uEd:e becomen met 13:
images/0061_NL-HaNA_1.04.02_1175_0144-groot_r1l48.jpg | Verleden Jaers Effecten naer luijt d'advijsen datoult=o
images/0062_NL-HaNA_1.04.02_1175_0144-groot_r1l52.jpg | Transportere.
images/0063_NL-HaNA_1.04.02_1175_0144-groot_r1l7.jpg | P=r de fluijtschepen witte duijf en:
images/0064_NL-HaNA_1.04.02_1201_0135-groot_line_1643034903480_205.jpg | 548
images/0065_NL-HaNA_1.04.02_1201_0135-groot_r1l10.jpg | Erntueste, manhafte, Hoochwijse, voorss:
images/0066_NL-HaNA_1.04.02_1201_0135-groot_r1l11.jpg | En seer voorneme Heeren, Naer onse schuldige
images/0067_NL-HaNA_1.04.02_1201_0135-groot_r1l12.jpg | Eerbiedigh: en ons in U Ed. Hoog: gedachte
images/0068_NL-HaNA_1.04.02_1201_0135-groot_r1l13.jpg | Gunste gerecommandeert hebbende, d' pro„
images/0069_NL-HaNA_1.04.02_1201_0135-groot_r1l15.jpg | „textie des Allregerenden Godts beveelen,
images/0070_NL-HaNA_1.04.02_1201_0135-groot_r1l16.jpg | die wij bidden U. Ed te willen segenen soo veele
images/0071_NL-HaNA_1.04.02_1201_0135-groot_r1l17.jpg | naer ziel ende lichaam zijt vereijschende blij„
images/0072_NL-HaNA_1.04.02_1201_0135-groot_r1l18.jpg | vende, was ge.t u Ed: Eer ende Trouw schul„
images/0073_NL-HaNA_1.04.02_1201_0135-groot_r1l19.jpg | digen dienaer Jacob van Kittenstein, in margine
images/0074_NL-HaNA_1.04.02_1201_0135-groot_r1l2.jpg | Eerste reijse een door blasende W: wint, die
images/0075_NL-HaNA_1.04.02_1201_0135-groot_r1l20.jpg | stont, Int Jacht d' Tortelduijff zeijlende naar
images/0076_NL-HaNA_1.04.02_1201_0135-groot_r1l21.jpg | de Rheede van Bat.a den 3 xbris A.o
images/0077_NL-HaNA_1.04.02_1201_0135-groot_r1l22.jpg | 1653
images/0078_NL-HaNA_1.04.02_1201_0135-groot_r1l3.jpg | die ons den vollgenden nacht meerder dede avan„
images/0079_NL-HaNA_1.04.02_1201_0135-groot_r1l4.jpg | „cueren, als anders wel in 14 daagen gedaen hadden,
images/0080_NL-HaNA_1.04.02_1201_0135-groot_r1l5.jpg | des morgens liepen d' Straet in, en zijn soo ver„
images/0081_NL-HaNA_1.04.02_1201_0135-groot_r1l6.jpg | volgens d' Heere zij gepreesen spoedich voort
images/0082_NL-HaNA_1.04.02_1201_0135-groot_r1l7.jpg | geraackt, ende also wij onse Gedestineerde plaet„
images/0083_NL-HaNA_1.04.02_1201_0135-groot_r1l8.jpg | se hards beginnen te genaacken, zullen deese
images/0084_NL-HaNA_1.04.02_1201_0135-groot_r1l9.jpg | aftbreecken, en daer mede, onderstont, u Ed:
images/0085_NL-HaNA_1.04.02_1232_0146-groot_line_1643036392767_274.jpg | Scijlon.
images/0086_NL-HaNA_1.04.02_1232_0146-groot_r1l2.jpg | Ordre na Malabar.
images/0087_NL-HaNA_1.04.02_1232_0146-groot_r3l1.jpg | november, sijnde namentlijck, dat wij mette hulpe Godes
images/0088_NL-HaNA_1.04.02_1232_0146-groot_r3l10.jpg | de Comp=e te lastich soude vallen ,ende oock de gem:
images/0089_NL-HaNA_1.04.02_1232_0146-groot_r3l11.jpg | Vorsten ende land voochden tegen de borst soude wesen
images/0090_NL-HaNA_1.04.02_1232_0146-groot_r3l12.jpg | ende ons bij deselve alsoo gehaet soude maecken
images/0091_NL-HaNA_1.04.02_1232_0146-groot_r3l13.jpg | als de portugesen oijt sijn geweest, mits dat deselve
images/0092_NL-HaNA_1.04.02_1232_0146-groot_r3l14.jpg | Vorsten haer, voor de adsistentie tottet uijtdrijven
images/0093_NL-HaNA_1.04.02_1232_0146-groot_r3l15.jpg | van hare vijanden bij deComp=e  gedaen, verbinden
images/0094_NL-HaNA_1.04.02_1232_0146-groot_r3l16.jpg | ende verplichten sullen deselve daer noijt weder
images/0095_NL-HaNA_1.04.02_1232_0146-groot_r3l17.jpg | te admitteren ,veel min plaetse ofte residentie te
images/0096_NL-HaNA_1.04.02_1232_0146-groot_r3l18.jpg | vergunnen, schoon oock niet jegenstaende deComp=e
images/0097_NL-HaNA_1.04.02_1232_0146-groot_r3l19.jpg | mette selve Natie in vrede mochte comen te
images/0098_NL-HaNA_1.04.02_1232_0146-groot_r3l2.jpg | ende alle middelen, die de tijt sal toelaten, trachten
images/0099_NL-HaNA_1.04.02_1232_0146-groot_r3l20.jpg | geraecken , ende dat boven dien den peper in hare landen
images/0100_NL-HaNA_1.04.02_1232_0146-groot_r3l21.jpg | vallende, voortaen aen geen andere vremde negotianten
images/0101_NL-HaNA_1.04.02_1232_0146-groot_r3l22.jpg | vercocht sal mogen worden , om uijt gekocht te worden
images/0102_NL-HaNA_1.04.02_1232_0146-groot_r3l23.jpg | dan alleen aende gem: Comp=e ende hare Eijgen onder,,
images/0103_NL-HaNA_1.04.02_1232_0146-groot_r3l24.jpg | danen te betaelen, tot sodanigen prijs, als om de
images/0104_NL-HaNA_1.04.02_1232_0146-groot_r3l25.jpg | drie ofte vier Jaren , tusschen haer ende ons beraemt,
images/0105_NL-HaNA_1.04.02_1232_0146-groot_r3l26.jpg | ende vast gestelt sal worden , het welck wij menen
images/0106_NL-HaNA_1.04.02_1232_0146-groot_r3l27.jpg | seer billijcke Conditien te sijn, ende na dewelcke
images/0107_NL-HaNA_1.04.02_1232_0146-groot_r3l28.jpg | sij geern sullen luijsteren, bij aldierse eenichsints
images/0108_NL-HaNA_1.04.02_1232_0146-groot_r3l29.jpg | een goede meijninge hebben ende , verhopen oock
images/0109_NL-HaNA_1.04.02_1232_0146-groot_r3l3.jpg | moeten de Portugesen, is 't doenelijck, uijt dien hoeck
images/0110_NL-HaNA_1.04.02_1232_0146-groot_r3l30.jpg | dat deselve ordre met UEd. intentie best overeen
images/0111_NL-HaNA_1.04.02_1232_0146-groot_r3l31.jpg | comen sal, als van gevoelen sijnde, gelijck wij ook
images/0112_NL-HaNA_1.04.02_1232_0146-groot_r3l32.jpg | sijn, dat deComp=e al meer dan te veel met
images/0113_NL-HaNA_1.04.02_1232_0146-groot_r3l33.jpg | forten ende vasticheden beswaert is, sonder noodich
images/0114_NL-HaNA_1.04.02_1232_0146-groot_r3l34.jpg | te hebben , haer besettingen veel wijder uijt te
images/0115_NL-HaNA_1.04.02_1232_0146-groot_r3l35.jpg | breijden , ende die reden heeft ons oock gemoveert,
images/0116_NL-HaNA_1.04.02_1232_0146-groot_r3l36.jpg | de
images/0117_NL-HaNA_1.04.02_1232_0146-groot_r3l4.jpg | te verdrijven, dat toegerusth=t van de conquesten op
images/0118_NL-HaNA_1.04.02_1232_0146-groot_r3l5.jpg | seijlen ten hoogsten noodich is, maer dat Wij daer evenwel
images/0119_NL-HaNA_1.04.02_1232_0146-groot_r3l6.jpg | geen vasticheden ofte stercken sullen inhouden, maer die
images/0120_NL-HaNA_1.04.02_1232_0146-groot_r3l7.jpg | verovert sullen worden, tersont overgeven aende
images/0121_NL-HaNA_1.04.02_1232_0146-groot_r3l8.jpg | Vorsten, in welcker land die bevonden sullen worden
images/0122_NL-HaNA_1.04.02_1232_0146-groot_r3l9.jpg | gelegen te sijn, om dat het inhouden van soodanige plaetsen
images/0123_NL-HaNA_1.04.02_1238_0350-groot_line_1643102062277_24.jpg | De Schepen rijnlandt ende orange die in :
images/0124_NL-HaNA_1.04.02_1238_0350-groot_line_1643102144298_58.jpg | 282
images/0125_NL-HaNA_1.04.02_1238_0350-groot_line_1643102154298_63.jpg | Wingurla
images/0126_NL-HaNA_1.04.02_1238_0350-groot_line_1643102168529_71.jpg | wingurla ten achteren
images/0127_NL-HaNA_1.04.02_1238_0350-groot_line_1643102178390_76.jpg | ƒ 13232:12:1:
images/0128_NL-HaNA_1.04.02_1238_0350-groot_line_1643102205793_85.jpg | van . . . . . . . . . . . . . . . . . . . .ƒ 42977:7:6
images/0129_NL-HaNA_1.04.02_1238_0350-groot_line_1679057263352_62.jpg | Ede
images/0130_NL-HaNA_1.04.02_1238_0350-groot_line_1679057263352_63.jpg | Ede
images/0131_NL-HaNA_1.04.02_1238_0350-groot_r1l10.jpg | doch daeronder Sijn begrepen
images/0132_NL-HaNA_1.04.02_1238_0350-groot_r1l11.jpg | 31880: gne aende vloot
images/0133_NL-HaNA_1.04.02_1238_0350-groot_r1l12.jpg | van offencie onder de Hr van
images/0134_NL-HaNA_1.04.02_1238_0350-groot_r1l13.jpg | Goens verstreckt
images/0135_NL-HaNA_1.04.02_1238_0350-groot_r1l14.jpg | daer Jegen bedraegen de winsten . 29744:15:5
images/0136_NL-HaNA_1.04.02_1238_0350-groot_r1l19.jpg | Komt ten achteren . . . .ƒ 13232:12:1.
images/0137_NL-HaNA_1.04.02_1238_0350-groot_r1l22.jpg | ende is de residentie beset gebleven
images/0138_NL-HaNA_1.04.02_1238_0350-groot_r1l23.jpg | met 17: nederlanders , als te weten
images/0139_NL-HaNA_1.04.02_1238_0350-groot_r1l24.jpg | het opperhooft, de ondercoopm Leendert
images/0140_NL-HaNA_1.04.02_1238_0350-groot_r1l25.jpg | Leendersz , 2: adsistenten een
images/0141_NL-HaNA_1.04.02_1238_0350-groot_r1l26.jpg | Constabels maet 11: matrosen ende
images/0142_NL-HaNA_1.04.02_1238_0350-groot_r1l27.jpg | een Jongen.
images/0143_NL-HaNA_1.04.02_1238_0350-groot_r1l3.jpg | uijtwijsende de wingurlase Negotie
images/0144_NL-HaNA_1.04.02_1238_0350-groot_r1l31.jpg | over mosambique hebben gesonden tot
images/0145_NL-HaNA_1.04.02_1238_0350-groot_r1l32.jpg | versterckinge vande macht naede
images/0146_NL-HaNA_1.04.02_1238_0350-groot_r1l33.jpg | Cust van India geordonneert, en
images/0147_NL-HaNA_1.04.02_1238_0350-groot_r1l34.jpg | worden hier tot noch toe niet ver,,
images/0148_NL-HaNA_1.04.02_1238_0350-groot_r1l35.jpg | nomen , de Heere geef datse eerlangh
images/0149_NL-HaNA_1.04.02_1238_0350-groot_r1l36.jpg | opdonderen ende een goede tijdingh
images/0150_NL-HaNA_1.04.02_1238_0350-groot_r1l37.jpg | aenbrengen mogen.
images/0151_NL-HaNA_1.04.02_1238_0350-groot_r1l4.jpg | boeckiens , 22e  Juny verleden gesloten
images/0152_NL-HaNA_1.04.02_1238_0350-groot_r1l5.jpg | hebben de oncosten daer inde tijt van
images/0153_NL-HaNA_1.04.02_1238_0350-groot_r1l6.jpg | 12: maenden weder belopen een Somme
images/0154_NL-HaNA_1.04.02_1245_0259-groot_line_1643103931335_171.jpg | N: verburch.
images/0155_NL-HaNA_1.04.02_1245_0259-groot_r1l1.jpg | hier mede
images/0156_NL-HaNA_1.04.02_1245_0259-groot_r1l10.jpg | U Ed=le Eer ende trouwschuldige Dien
images/0157_NL-HaNA_1.04.02_1245_0259-groot_r1l11.jpg | Batavia in uEd=e Casteel
images/0158_NL-HaNA_1.04.02_1245_0259-groot_r1l12.jpg | den Gouverneur Generaal ende Raden
images/0159_NL-HaNA_1.04.02_1245_0259-groot_r1l13.jpg | den 23 decembe 1664.
images/0160_NL-HaNA_1.04.02_1245_0259-groot_r1l14.jpg | van India
images/0161_NL-HaNA_1.04.02_1245_0259-groot_r1l15.jpg | Joan Maetsuyker
images/0162_NL-HaNA_1.04.02_1245_0259-groot_r1l16.jpg | Carel hartsinck
images/0163_NL-HaNA_1.04.02_1245_0259-groot_r1l18.jpg | Laurens Clit
images/0164_NL-HaNA_1.04.02_1245_0259-groot_r1l19.jpg | P.A Overtwater
images/0165_NL-HaNA_1.04.02_1245_0259-groot_r1l2.jpg | Edele, Erntfeste, hoogachtbare, wijse, voor,,
images/0166_NL-HaNA_1.04.02_1245_0259-groot_r1l20.jpg | Matth.s vanden Brouck
images/0167_NL-HaNA_1.04.02_1245_0259-groot_r1l21.jpg | Joan Thijsen
images/0168_NL-HaNA_1.04.02_1245_0259-groot_r1l22.jpg | Bassaerds.
images/0169_NL-HaNA_1.04.02_1245_0259-groot_r1l24.jpg | Herman Hoorn.
images/0170_NL-HaNA_1.04.02_1245_0259-groot_r1l3.jpg | sienige ende seer genereuse Heeren, willen uE
images/0171_NL-HaNA_1.04.02_1245_0259-groot_r1l4.jpg | naer onse Eerbiedige groetenisse, inde genadige
images/0172_NL-HaNA_1.04.02_1245_0259-groot_r1l5.jpg | bescherminge Godes almachtig bevelen, die uEd=e re e
images/0173_NL-HaNA_1.04.02_1245_0259-groot_r1l6.jpg | ring en desseijnen meer ende meer gelieve te segen
images/0174_NL-HaNA_1.04.02_1245_0259-groot_r1l7.jpg | tot verbreijdinge van Godes h: naem, welvaren en
images/0175_NL-HaNA_1.04.02_1245_0259-groot_r1l8.jpg | reputatie onses lieven vaderlants , ende voordeel de
images/0176_NL-HaNA_1.04.02_1245_0259-groot_r1l9.jpg | gemeene participanten, amen
images/0177_NL-HaNA_1.04.02_1261_0356-groot_line_1643104728401_226.jpg | P.r Transport Rx.rs 12992,,
images/0178_NL-HaNA_1.04.02_1261_0356-groot_line_1643716888782_386.jpg | betaelt te werden 600B:cruijs,, 600:
images/0179_NL-HaNA_1.04.02_1261_0356-groot_line_1643716894118_390.jpg | zegge. . . . . . . Rx. 5000
images/0180_NL-HaNA_1.04.02_1261_0356-groot_line_1644227496724_6.jpg | 11800 -
images/0181_NL-HaNA_1.04.02_1261_0356-groot_line_1679057394242_112.jpg | te werden voldaen 1700.provintiedaeld.rs,, 1700.
images/0182_NL-HaNA_1.04.02_1261_0356-groot_line_1679057394243_113.jpg | te werden voldaen 1700.provintiedaeld.rs,, 1700.
images/0183_NL-HaNA_1.04.02_1261_0356-groot_line_1679057401880_119.jpg | cruijsdaelders. . . . . Rx. 11200.
images/0184_NL-HaNA_1.04.02_1261_0356-groot_line_1679057401880_120.jpg | cruijsdaelders. . . . . Rx. 11200.
images/0185_NL-HaNA_1.04.02_1261_0356-groot_line_1679057412072_132.jpg | d.e vanden selven,omme aen
images/0186_NL-HaNA_1.04.02_1261_0356-groot_line_1679057412072_133.jpg | d.e vanden selven,omme aen
images/0187_NL-HaNA_1.04.02_1261_0356-groot_line_1679057417806_139.jpg | te werden 1000. provintiedaelders ,, 1000:
images/0188_NL-HaNA_1.04.02_1261_0356-groot_line_1679057417806_140.jpg | te werden 1000. provintiedaelders ,, 1000:
images/0189_NL-HaNA_1.04.02_1261_0356-groot_r1l10.jpg | Verweij, omme aen denselven in't patria
images/0190_NL-HaNA_1.04.02_1261_0356-groot_r1l13.jpg | Van de Heeren Weesmeesteren alhier,omme
images/0191_NL-HaNA_1.04.02_1261_0356-groot_r1l14.jpg | aen de heeren Weesmeesteren , ende
images/0192_NL-HaNA_1.04.02_1261_0356-groot_r1l15.jpg | frederick lodewijcksen coopman tot
images/0193_NL-HaNA_1.04.02_1261_0356-groot_r1l16.jpg | amsterdam, voor requening der gerecht
images/0194_NL-HaNA_1.04.02_1261_0356-groot_r1l17.jpg | erfgenamen van aernout evertsen sal.r
images/0195_NL-HaNA_1.04.02_1261_0356-groot_r1l18.jpg | weder uijt te keeren 11200. Brabantse
images/0196_NL-HaNA_1.04.02_1261_0356-groot_r1l2.jpg | Van dionijs kelck bode vande Weescamer
images/0197_NL-HaNA_1.04.02_1261_0356-groot_r1l21.jpg | d.e  van idems, omme aende genoemde
images/0198_NL-HaNA_1.04.02_1261_0356-groot_r1l22.jpg | en sulcx voor requeningh der
images/0199_NL-HaNA_1.04.02_1261_0356-groot_r1l25.jpg | erfgenamen vanden selven
images/0200_NL-HaNA_1.04.02_1261_0356-groot_r1l26.jpg | aernolt evertsen zal.r weder
images/0201_NL-HaNA_1.04.02_1261_0356-groot_r1l29.jpg | Vanden Vrijcoopman s.r cornelis van necq
images/0202_NL-HaNA_1.04.02_1261_0356-groot_r1l3.jpg | alhier, omme aen s.r pieter adriaensen
images/0203_NL-HaNA_1.04.02_1261_0356-groot_r1l30.jpg | omme aen s.r Laurens adriaensen
images/0204_NL-HaNA_1.04.02_1261_0356-groot_r1l31.jpg | clocq. coopman tot alcmaer weder
images/0205_NL-HaNA_1.04.02_1261_0356-groot_r1l32.jpg | betaelt te werden 5000. B: cruijsdaeld.rs
images/0206_NL-HaNA_1.04.02_1261_0356-groot_r1l36.jpg | s.r dirck janssen vander tijt
images/0207_NL-HaNA_1.04.02_1261_0356-groot_r1l37.jpg | coopman tot flissingen weder
images/0208_NL-HaNA_1.04.02_1261_0356-groot_r1l38.jpg | a
images/0209_NL-HaNA_1.04.02_1261_0356-groot_r1l39.jpg | gerestitueert te werden 1200 B: cruijsdrs ,, 1200
images/0210_NL-HaNA_1.04.02_1261_0356-groot_r1l4.jpg | van Overveld, ofte hendricq hendrixen
images/0211_NL-HaNA_1.04.02_1261_0356-groot_r1l40.jpg | Transportere . Rx.rs 6200 Rx:rs 26492
images/0212_NL-HaNA_1.04.02_1261_0356-groot_r1l5.jpg | van doorn tot Rotterdam weder voldaen
images/0213_NL-HaNA_1.04.02_1261_0356-groot_r1l9.jpg | Vanden schipper commandeur bartholomeus
images/0214_NL-HaNA_1.04.02_1371_0108-groot_line_1643704322330_14.jpg | Banda P.r Transport . . . . . . . ƒ809571,,18,,3
images/0215_NL-HaNA_1.04.02_1371_0108-groot_line_1643704349103_19.jpg | kostende tesamen . . . . . . . . . ƒ85136,,1,, 7,,
images/0216_NL-HaNA_1.04.02_1371_0108-groot_line_1643704353859_23.jpg | en in Banda betaalt Rds 1954,, 5862,,-,,-,,
images/0217_NL-HaNA_1.04.02_1371_0108-groot_line_1643704370333_32.jpg | kreijts alhier te vereffenen . . . . ,, 10752,,-,,-,,
images/0218_NL-HaNA_1.04.02_1371_0108-groot_line_1643704420107_44.jpg | staat . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ƒ707821,,16,,
images/0219_NL-HaNA_1.04.02_1371_0108-groot_line_1643704460094_68.jpg | fortificatie en Reparatie . . . . . . . . . . . . . . . . ,, 15462,, 15,, 1
images/0220_NL-HaNA_1.04.02_1371_0108-groot_line_1643704464194_72.jpg | provisien aan 3 schepen en 2 Jagtjens . . . . . . . . ,, 8374,,13,,
images/0221_NL-HaNA_1.04.02_1371_0108-groot_line_1643704476667_81.jpg | drage voorts . . . . . . . . . de lasten . . ƒ185548,,-,, 3
images/0222_NL-HaNA_1.04.02_1371_0108-groot_line_1643704696532_89.jpg | Door die Vanamber pr wissel getrocken
images/0223_NL-HaNA_1.04.02_1371_0108-groot_line_1643704711232_98.jpg | dag hebben bedragen in 12/m als volgt
images/0224_NL-HaNA_1.04.02_1371_0108-groot_line_1643704716261_104.jpg | De generale soudjen . . . . . . . . . . . ƒ95355,, 8,,
images/0225_NL-HaNA_1.04.02_1371_0108-groot_line_1643704729228_116.jpg | ordinaris en extraord.s Omgelden . . . . . . . . .,, 25234,, ,,17,,
images/0226_NL-HaNA_1.04.02_1371_0108-groot_line_1643704742397_125.jpg | sloepen en mindere Vaartuijgen . . . . . . . . . . . ,, 2040,, 5,, 1
images/0227_NL-HaNA_1.04.02_1371_0108-groot_line_1643704770841_131.jpg | ,,101750,, 1,, 7
images/0228_NL-HaNA_1.04.02_1371_0108-groot_line_1643705611975_196.jpg | gesonden, dog het kostende onbekent ... ,, . . . . . . . . . .
images/0229_NL-HaNA_1.04.02_1371_0108-groot_line_1644228021267_16.jpg | vrije Randsoenen . . . . . . . . . . . . . . . . . . . ,, 39079,, 19,,
images/0230_NL-HaNA_1.04.02_1371_0108-groot_r1l10.jpg | van specerijen , inden aanvanck deses genoemt,
